code,name,brand,slug,image_file,image_path,size_bytes
CASTROL-EDGE-5W-30,Castrol EDGE 5W-30,Castrol,huile-castrol-edge-5w-30,huile-castrol-edge-5w-30.webp,/home/z/my-project/download/product-images/huile-castrol-edge-5w-30.webp,19030
CASTROL-MAGNETEC-SS-5W-30,Castrol Magnatec Stop-Start 5W-30,Castrol,huile-castrol-magnetec-ss-5w-30,huile-castrol-magnetec-ss-5w-30.webp,/home/z/my-project/download/product-images/huile-castrol-magnetec-ss-5w-30.webp,19030
ELF-EVO-900-NF-5W-40,ELF EVOLUTION 900 NF 5W-40,ELF,huile-elf-evo-900-nf-5w-40,huile-elf-evo-900-nf-5w-40.webp,/home/z/my-project/download/product-images/huile-elf-evo-900-nf-5w-40.webp,102444
ELF-EVO-900-SXR-5W-40,ELF EVOLUTION 900 SXR 5W-40,ELF,huile-elf-evo-900-sxr-5w-40,huile-elf-evo-900-sxr-5w-40.webp,/home/z/my-project/download/product-images/huile-elf-evo-900-sxr-5w-40.webp,102444
ELF-EVO-FULLTECH-FE-5W-30,ELF EVOLUTION FULL-TECH FE 5W-30,ELF,huile-elf-evo-fulltech-fe-5w-30,huile-elf-evo-fulltech-fe-5w-30.jpg,/home/z/my-project/download/product-images/huile-elf-evo-fulltech-fe-5w-30.jpg,244804
ELF-EVO-FULLTECH-PCX-5W-30,ELF EVOLUTION FULL-TECH PCX 5W-30,ELF,huile-elf-evo-fulltech-pcx-5w-30,huile-elf-evo-fulltech-pcx-5w-30.jpg,/home/z/my-project/download/product-images/huile-elf-evo-fulltech-pcx-5w-30.jpg,244804
LIQUI-MOLY-ADDITIF-A,liqui-moly-additif-anti-cristallisation-adblue-concentre,Liqui Moly,liqui-moly-additif-anti-cristallisation-adblue-concentre,liqui-moly-additif-anti-cristallisation-adblue-concentre.png,/home/z/my-project/download/product-images/liqui-moly-additif-anti-cristallisation-adblue-concentre.png,139432
LIQUI-MOLY-ADDITIF-C,liqui-moly-additif-common-rail-250ml,Liqui Moly,liqui-moly-additif-common-rail-250ml,liqui-moly-additif-common-rail-250ml.jpg,/home/z/my-project/download/product-images/liqui-moly-additif-common-rail-250ml.jpg,35488
LIQUI-MOLY-ADDITIF-D,liqui-moly-additif-diesel-5-en-1-pro-line,Liqui Moly,liqui-moly-additif-diesel-5-en-1-pro-line,liqui-moly-additif-diesel-5-en-1-pro-line.png,/home/z/my-project/download/product-images/liqui-moly-additif-diesel-5-en-1-pro-line.png,228753
AUTO-LIQUIMOLYADDITIFDIESELANTIBACTERIEN-2625,liqui-moly-additif-diesel-anti-bacterien-1l,Liqui Moly,liqui-moly-additif-diesel-anti-bacterien-1l,liqui-moly-additif-diesel-anti-bacterien-1l.jpg,/home/z/my-project/download/product-images/liqui-moly-additif-diesel-anti-bacterien-1l.jpg,57357
LIQUI-MOLY-ADDITIF-E,liqui-moly-additif-essence-5-en-1-300ml,Liqui Moly,liqui-moly-additif-essence-5-en-1-300ml,liqui-moly-additif-essence-5-en-1-300ml.png,/home/z/my-project/download/product-images/liqui-moly-additif-essence-5-en-1-300ml.png,502883
LIQUI-MOLY-ANTI-RONG,liqui-moly-anti-rongeurs,Liqui Moly,liqui-moly-anti-rongeurs,liqui-moly-anti-rongeurs.jpg,/home/z/my-project/download/product-images/liqui-moly-anti-rongeurs.jpg,16597
LIQUI-MOLY-CATALYTIC,liqui-moly-catalytic-system-clean-300ml,Liqui Moly,liqui-moly-catalytic-system-clean-300ml,liqui-moly-catalytic-system-clean-300ml.jpg,/home/z/my-project/download/product-images/liqui-moly-catalytic-system-clean-300ml.jpg,49677
AUTO-LIQUIMOLYCATALYTICSYSTEMCLEANER300M-2538,liqui-moly-catalytic-system-cleaner-300ml,Liqui Moly,liqui-moly-catalytic-system-cleaner-300ml,liqui-moly-catalytic-system-cleaner-300ml.jpg,/home/z/my-project/download/product-images/liqui-moly-catalytic-system-cleaner-300ml.jpg,41563
LIQUI-MOLY-CREATEC,liqui-moly-createc,Liqui Moly,liqui-moly-createc,liqui-moly-createc.jpg,/home/z/my-project/download/product-images/liqui-moly-createc.jpg,50253
LIQUI-MOLY-ENGINE-FL,liqui-moly-engine-flush-shooter,Liqui Moly,liqui-moly-engine-flush-shooter,liqui-moly-engine-flush-shooter.jpg,/home/z/my-project/download/product-images/liqui-moly-engine-flush-shooter.jpg,51295
LIQUI-MOLY-ENTRETIEN,liqui-moly-entretien-circuits-dinjection-marine,Liqui Moly,liqui-moly-entretien-circuits-dinjection-marine,liqui-moly-entretien-circuits-dinjection-marine.jpg,/home/z/my-project/download/product-images/liqui-moly-entretien-circuits-dinjection-marine.jpg,40549
LIQUI-MOLY-G11-PRET,liqui-moly-g11-pret-a-lemploi-50-50-5l,Liqui Moly,liqui-moly-g11-pret-a-lemploi-50-50-5l,liqui-moly-g11-pret-a-lemploi-50-50-5l.png,/home/z/my-project/download/product-images/liqui-moly-g11-pret-a-lemploi-50-50-5l.png,324204
LIQUI-MOLY-HUILE-DE,liqui-moly-huile-de-boite-moto-75w-140-gl5,Liqui Moly,liqui-moly-huile-de-boite-moto-75w-140-gl5,liqui-moly-huile-de-boite-moto-75w-140-gl5.webp,/home/z/my-project/download/product-images/liqui-moly-huile-de-boite-moto-75w-140-gl5.webp,14024
LIQUI-MOLY-HUILE-MAR,liqui-moly-huile-marine-4t-10w-30,Liqui Moly,liqui-moly-huile-marine-4t-10w-30,liqui-moly-huile-marine-4t-10w-30.jpg,/home/z/my-project/download/product-images/liqui-moly-huile-marine-4t-10w-30.jpg,59120
AUTO-LIQUIMOLYHUILEMARINE4T10W40-2610,liqui-moly-huile-marine-4t-10w-40,Liqui Moly,liqui-moly-huile-marine-4t-10w-40,liqui-moly-huile-marine-4t-10w-40.png,/home/z/my-project/download/product-images/liqui-moly-huile-marine-4t-10w-40.png,432978
AUTO-LIQUIMOLYHUILEMARINE4T25W401L-2599,liqui-moly-huile-marine-4t-25w40-1l,Liqui Moly,liqui-moly-huile-marine-4t-25w40-1l,liqui-moly-huile-marine-4t-25w40-1l.png,/home/z/my-project/download/product-images/liqui-moly-huile-marine-4t-25w40-1l.png,452398
LIQUI-MOLY-HUILE-POU,liqui-moly-huile-pour-systeme-hydraulique-central-1l,Liqui Moly,liqui-moly-huile-pour-systeme-hydraulique-central-1l,liqui-moly-huile-pour-systeme-hydraulique-central-1l.png,/home/z/my-project/download/product-images/liqui-moly-huile-pour-systeme-hydraulique-central-1l.png,393098
LIQUI-MOLY-HUILE-TRA,liqui-moly-huile-transmission-10w30-1l,Liqui Moly,liqui-moly-huile-transmission-10w30-1l,liqui-moly-huile-transmission-10w30-1l.jpg,/home/z/my-project/download/product-images/liqui-moly-huile-transmission-10w30-1l.jpg,16218
LIQUI-MOLY-HYBRID-AD,liqui-moly-hybrid-additive-250ml,Liqui Moly,liqui-moly-hybrid-additive-250ml,liqui-moly-hybrid-additive-250ml.png,/home/z/my-project/download/product-images/liqui-moly-hybrid-additive-250ml.png,277026
AUTO-LIQUIMOLYLIQUIDEDEFREINDOT3500ML-2568,liqui-moly-liquide-de-frein-dot-3-500ml,Liqui Moly,liqui-moly-liquide-de-frein-dot-3-500ml,liqui-moly-liquide-de-frein-dot-3-500ml.jpg,/home/z/my-project/download/product-images/liqui-moly-liquide-de-frein-dot-3-500ml.jpg,42144
AUTO-LIQUIMOLYLIQUIDEDEFREINDOT4250ML-2585,liqui-moly-liquide-de-frein-dot-4-250ml,Liqui Moly,liqui-moly-liquide-de-frein-dot-4-250ml,liqui-moly-liquide-de-frein-dot-4-250ml.jpg,/home/z/my-project/download/product-images/liqui-moly-liquide-de-frein-dot-4-250ml.jpg,42164
AUTO-LIQUIMOLYLIQUIDEDEFREINDOT51250M-2577,liqui-moly-liquide-de-frein-dot-5-1-250ml,Liqui Moly,liqui-moly-liquide-de-frein-dot-5-1-250ml,liqui-moly-liquide-de-frein-dot-5-1-250ml.jpg,/home/z/my-project/download/product-images/liqui-moly-liquide-de-frein-dot-5-1-250ml.jpg,36050
