Brand,Product,Viscosity,API,ACEA,JASO,VehicleTypes,FuelTypes,minCylinders,maxCylinders,minPower,maxPower,DPFCompatible,TurboCompatible,HybridCompatible,OEMApprovals,Applications,OfficialSource,TDS_URL
Shell,Shell Helix Ultra 5W-40,5W-40,"SP,SN/CF","A3/B3,A3/B4",N/A,Passenger Car,"Petrol,Diesel",3,4,69,150,No,Yes,No,BMW LL-01;MB 229.5;MB 226.5;VW 502.00;VW 505.00;Porsche A40,"High-performance gasoline and diesel engines, turbocharged and naturally aspirated, requiring premium long-life oil",Shell Official Product Page + TDS,https://www.shell-livedocs.com/data/published/en-MY/00b15adf-9b1f-44d6-8016-b5b6815d3379.pdf
Shell,Shell Helix HX8 5W-30,5W-30,"SN Plus,SN,SL/CF","A3/B3,A3/B4",N/A,Passenger Car,"Petrol,Diesel",3,4,69,150,No,Yes,No,MB 229.3;VW 502.00/505.00;Renault RN0700;Renault RN0710,Fully synthetic for modern gasoline and diesel engines including turbocharged; meets Renault standards for Clio/Megane/Sandero,Shell Official Product Page + Viva Energy TDS,https://www.epc.shell.com/DocumentManagement/BlobDocumentDownload?DocId=102431545
Shell,Shell Helix HX7 5W-40,5W-40,SN/CF,"A3/B3,A3/B4",SG+,"Passenger Car,Light Commercial","Petrol,Diesel",3,4,69,150,No,Yes,No,MB 229.3;VW 502.00/505.00;GM LL-A/B-025;Renault RN0700;Renault RN0710,Semi-synthetic technology for wide range of gasoline and diesel engines including turbocharged; suitable for older Renault/Dacia models,Shell Official Product Page + Quality Bearings TDS,https://www.qualitybearingsonline.com/content/Lubricants/MSDS%20and%20TDS%20PDFs/Shell/Shell%20Helix%20HX7%205W-40%20TDS.pdf
Shell,Shell Helix Ultra Professional AM-L 5W-30,5W-30,SN/CF,C3,N/A,Passenger Car,"Petrol,Diesel",4,4,109,163,Yes,Yes,No,MB 229.511,Mercedes-Benz AMG and modern MB engines requiring 229.511 specification,Shell Livedocs TDS,https://www.shell-livedocs.com/data/published/en/4b77a24e-ec93-4151-b777-235f1d8918f2.pdf
Motul,Motul 4100 SYN-NERGY SPEC 10W-40,10W-40,SP/CF,A3/B4,N/A,"Passenger Car,Light Commercial","Petrol,Diesel",3,4,75,116,No,Yes,No,MB 229.3;VW 501.01/505.00;PSA B71 2300;Renault RN0700;Renault RN0710,"Technosynthese lubricant for gasoline and diesel engines including turbocharged; suits older PSA, Renault, VW, Mercedes vehicles",Motul Official Product Page,https://www.motul.com/en-GB/products/14622
Motul,Motul 4100 TURBOLIGHT 10W-40,10W-40,SN,A3/B4,N/A,"Passenger Car,Light Commercial","Petrol,Diesel",4,4,75,75,No,Yes,No,MB 229.1;MB 229.3;VW 501.01/505.00;Renault RN0700,Economy synthetic for older gasoline and diesel engines; suits Dacia Logan 1.4 MPI and similar budget vehicles in Tunisia,Motul Official Product Page + Cloudfront TDS,https://d347awuzx0kdse.cloudfront.net/motul/product-download/113910_tds.pdf
Motul,Motul 8100 X-CLEAN FE 5W-30,5W-30,"SP,SN/CF","C2,C3",N/A,Passenger Car,"Petrol,Diesel",3,3,67,130,Yes,Yes,Yes,GM dexos2;PSA B71 2290;MB 229.52;Renault RN17,"100% synthetic low SAPS for latest generation engines with DPF and catalytic converters; suitable for PureTech, BlueHDi, and Renault turbo engines",Motul Official Product Page + OilGroup TDS,https://oilgroupbg.com/pdf/motul/motul-8100-x-clean-fe-5w30.pdf
Motul,Motul SPECIFIC 2312 0W-30,0W-30,N/A,C2,N/A,Passenger Car,"Diesel,Petrol",4,4,100,120,Yes,Yes,No,PSA B71 2312,100% synthetic Fuel Economy for latest generation BlueHDi diesel engines with SCR/DPF and compatible gasoline engines; Euro 4/5/6,Motul Official Product Page + Incony TDS,https://motul.incony.de/media/motulData/DO/base/SPECIFIC_2312_0W-30_en_FR_motul_20210401.pdf
Motul,Motul SPECIFIC 913D 5W-30,5W-30,N/A,A5/B5,N/A,Passenger Car,"Petrol,Diesel",3,4,85,150,No,Yes,No,FORD WSS-M2C913-D,100% synthetic Fuel Economy for Ford and OEMs requiring low HTHS; backward compatible with WSS-M2C913-A/B/C,Motul Official Product Page (scraped),https://www.motul.com/en-QA/products/59712
TotalEnergies,TotalEnergies QUARTZ INEO ECS 5W-30,5W-30,N/A,C2,N/A,Passenger Car,"Petrol,Diesel",3,3,82,130,Yes,Yes,Yes,PSA B71 2290;FIAT 9.55535-S1,"Low SAPS advanced synthetic specially designed for Peugeot, Citroen and DS engines (Euro 4/5 petrol and diesel); PureTech compatible",TotalEnergies Official Lubricants Catalog + TDS,https://conlanoils.com/wp-content/uploads/2021/01/Total-Quartz-Ineo-ECS-5W-30-2020.pdf
TotalEnergies,TotalEnergies QUARTZ INEO LONG LIFE 5W-30,5W-30,SP,C3,N/A,Passenger Car,"Petrol,Diesel",4,4,105,110,Yes,Yes,No,VW 504.00/507.00;BMW LL-04;MB 229.51;PORSCHE C30,"Low SAPS for VW Group diesel engines with DPF (30,000 km drain intervals); also BMW, Mercedes, Porsche diesel applications",TotalEnergies Official Lubricants Catalog,https://lubricants.catalog.totalenergies.com/corporate/en_UK/6e5_quartz-ineo-long-life-5w-30
TotalEnergies,TotalEnergies QUARTZ 9000 5W-40,5W-40,"SN,SM,SL/CF",A3/B4,N/A,"Passenger Car,Light Commercial","Petrol,Diesel",3,4,69,150,No,Yes,No,VW 502.00/505.00;BMW LL-01;MB 229.3;Renault RN0700;VW 501.01/505.00,"Advanced synthetic technology for wide range of gasoline and diesel engines; suits VW, BMW, Mercedes, Renault, Dacia vehicles",TotalEnergies Official Lubricants Catalog + TDS,https://lubricants.catalog.totalenergies.com/catalog-za/en_ZA/714_quartz-9000-5w-40
ELF,ELF EVOLUTION 900 NF 5W-40,5W-40,SN,A3/B4,N/A,Passenger Car,"Petrol,Diesel",3,4,75,116,No,Yes,No,Renault RN0700;Renault RN0710,"ELF Advanced Synthetic Technology for gasoline and diesel engines; suits Renault Clio, Megane, Dacia Sandero, Logan requiring RN0700/RN0710",TotalEnergies Official Catalog + TDS,https://vsichkimasla.bg/wp-content/uploads/2023/11/Elf-Evolution-900-NF-5W-40.pdf
ELF,ELF EVOLUTION 900 SXR 5W-40,5W-40,SP,A3/B4,N/A,Passenger Car,"Petrol,Diesel",3,4,69,116,No,Yes,Yes,MB 229.5;Renault RN0700;Renault RN0710;Stellantis FPW9,Premium full synthetic for high-performance gasoline and diesel engines including turbocharged; meets BMW LL-01 requirements,TotalEnergies/ELF Official Catalog + Scribd TDS,https://lubricants.catalog.totalenergies.com/catalog-sg/en_SG/buq_evolution-900-nf-5w-40
ELF,ELF EVOLUTION FULL-TECH PCX 5W-30,5W-30,SN Plus,C3,N/A,Passenger Car,"Petrol,Diesel",3,3,82,130,Yes,Yes,No,PSA B71 2290;PSA B71 2297,Anti-friction additives for Peugeot and Citroen engines including PureTech; DPF compatible,TotalEnergies/ELF Official Catalog,https://lubricants.catalog.totalenergies.com/catalogue-be-fr/en_UK/yyy_evolution-full-tech-pcx-5w-30
ELF,ELF EVOLUTION FULL-TECH FE 5W-30,5W-30,N/A,"C3,C4",N/A,Passenger Car,"Diesel,Petrol",4,4,90,116,Yes,Yes,No,MB 226.51;MB 229.51;Renault RN0720,Low SAPS for diesel engines with DPF and modern gasoline engines; meets Renault RN0720 for Mégane dCi and Mercedes 229.51,ELF Official Catalog + TDS,https://www.filters.gr/wp-content/uploads/2019/04/EVOLUTION-FULL-TECH-FE-5W-30.pdf
Castrol,Castrol EDGE 5W-30,5W-30,SP,"C3,A5/B5,C2",N/A,Passenger Car,"Petrol,Diesel",4,4,105,110,Yes,Yes,Yes,VW 504.00/507.00;BMW LL-04;MB 229.51;GM dexos2;Chrysler MS 6395,"Fluid TITANIUM technology for modern engines with DPF and after-treatment systems; VW Group LongLife, BMW, Mercedes diesel",Castrol Product Pages + Multiple TDS sources,https://www.hascooil.com/wp-content/uploads/2016/10/EDGE-5W-30-C3-sds.pdf
Castrol,Castrol Magnatec Stop-Start 5W-30,5W-30,N/A,C2,N/A,Passenger Car,"Petrol,Diesel",3,3,82,130,Yes,Yes,Yes,PSA B71 2290,Intelligent molecules for frequent start/stop engines; specifically suited for Peugeot/Citroen PureTech engines with stop-start systems,Mecapro.fr product listing,https://www.alliancedistributiongroup.co.uk/app/uploads/2023/05/Castrol-Magnatec-5w-30-C2-Oil-PDF.pdf
Yacco,Yacco VX 1000 LL 0W-40,0W-40,"SN,CF",A3/B4,N/A,"Passenger Car,Light Commercial","Petrol,Diesel,LPG",3,4,69,150,No,Yes,No,MB 229.5;Porsche A40;BMW LL-01 (until end 2018);FORD WSS-M2C937-A;Renault RN0710/RN0700;VW 502.00/505.00,"100% synthetic Longlife for highly stressed gasoline, diesel and LPG engines; turbocharged and sporty engines; popular in Tunisia for BMW, Mercedes, VW",Yacco Official Product Page + TDS,https://www.yacco.com/upload/media/default/0001/06/633ba0ec7f05e87c78fc1ee5777e5be11d5ece4f.pdf
Shell,Shell Helix Ultra Professional AV-L 0W-20,0W-20,SN,C5,N/A,Passenger Car,"Petrol,Diesel",3,4,75,180,Yes,Yes,Yes,VW 508.00;VW 509.00;Porsche C20,"Fully synthetic 0W-20 with PurePlus Technology (gas-to-liquid) for latest VW Group engines requiring VW 508/509 Blue Oil; also suitable for any engine requiring ACEA C5 including Kia, Hyundai, and Stellantis",Shell Official Livedocs TDS + Autodoc Parts + Motominds.de,https://www.shell-livedocs.com/data/published/en-AU/a8207b4a-73a2-4c7a-80e7-f5de4151b576.pdf
Motul,Motul SPECIFIC 508 00/509 00 0W-20,0W-20,SP,C5,N/A,Passenger Car,"Petrol,Diesel",3,4,95,180,Yes,Yes,Yes,VW 508.00;VW 509.00;Porsche C20,100% synthetic Fuel Economy for latest VAG group generation engines requiring VW 508.00/509.00; meets Porsche C20 and Ford WSS-M2C955-A1 performance standards,Motul Official Product Page + TDS PDF (Motul Media),https://azupim01.motul.com/media/motulData/DO/base/specific_508_00_509_00_0w-20_en_za_motul_59310_20250911.pdf
Yacco,Yacco LUBE RN-17 FE 0W-20,0W-20,N/A,C5,N/A,Passenger Car,"Petrol,Diesel",3,4,91,180,Yes,Yes,Yes,Renault RN17 FE,100% synthetic mid SAPS Fuel Economy for latest generation Renault and Dacia turbo gasoline engines requiring RN17 FE 0W-20; also suitable for any engine requiring ACEA C5,Yacco Official Product Page + TDS PDF (Yacco Estonia),https://yacco.ee/wp-content/uploads/2022/02/FTE-3076-LUBE-RN-17-FE-0W20-50-2019.pdf
Petronas,Petronas Syntium 7000 RN 0W-20,0W-20,SP,C5,N/A,Passenger Car,"Petrol,Diesel",3,4,91,180,Yes,Yes,Yes,Renault RN17 FE,"Advanced synthetic with CoolTech+ technology for direct injection turbocharged gasoline engines; formulated specifically for Renault RN17 FE specification; suits latest Clio V, Sandero III, and other Renault/Dacia turbo engines",Petronas PLI Portal + Oscaro.com + eBay retailer listing,https://uk.pli-petronas.com/products/petronas-syntium
TotalEnergies,TotalEnergies QUARTZ INEO XTRA FIRST 0W-20,0W-20,SN,C5,N/A,Passenger Car,"Petrol,Diesel",3,4,75,180,Yes,Yes,Yes,Stellantis FPW9.55535/03,"Advanced synthetic formulated as Stellantis (ex-PSA Group) factory fill and aftermarket; approved for Peugeot, Citroen, DS, and Opel petrol and diesel engines meeting EURO 6d-TEMP; suits Opel Corsa F 1.2 Turbo and latest Stellantis vehicles",TotalEnergies Official Lubricants Catalog + TDS PDF (BronchiCombustibili) + Tenz.nz,https://www.bronchicombustibili.com/wp-content/uploads/2021/04/TOTAL-QUARTZ-INEO-XTRA-FIRST-0W-20-Olio-Auto-TDS.pdf
