Product,Brand,Data collected,Method,Source type,Source URL,Source title,Relevant approval/specification,Evidence,Derived values,Conversion,Confidence
Shell Helix Ultra 5W-40,Shell,"Viscosity 5W-40; API SP/SN/CF; ACEA A3/B3,A3/B4; OEM: BMW LL-01,MB 229.5,MB 226.5,VW 502.00,VW 505.00,Porsche A40",Official manufacturer product page + TDS document + retailer cross-reference,Official (Shell.com) + TDS PDF,https://www.shell.com/motorist/oils-lubricants/helix-for-cars/helix-fully-synthetic/shell-helix-ultra-5w-40.html,Shell Helix Ultra 5W-40 - Shell Official,VW 502.00/505.00; MB 229.5; BMW LL-01; Porsche A40,Shell official product page lists all approvals; TDS PDF confirms viscosity and ACEA specs; Nourstores.com and BestOil.tn confirm availability in Tunisia market,"DPFCompatible=No (ACEA A3/B4 is high SAPS, not for DPF); TurboCompatible=Yes (approved for turbocharged engines per BMW LL-01, Porsche A40)",None needed,HIGH
Shell Helix HX8 5W-30,Shell,"Viscosity 5W-30; API SN Plus/SN,SL/CF; ACEA A3/B3,A3/B4; OEM: MB 229.3,VW 502.00/505.00,Renault RN0700,RN0710; Price 159 DT/5L Tunisia",Official manufacturer product page + retailer TDS + Tunisia market verification,Official (Shell.com) + TDS (Viva Energy) + Retailer (BestOil.tn),https://www.shell.com/motorist/oils-lubricants/helix-for-cars/helix-fully-synthetic/shell-helix-hx8-synthetic-5w-30.html,Shell Helix HX8 Synthetic 5W-30 - Shell Official,Renault RN0700/RN0710; VW 502.00/505.00; MB 229.3,Shell official page confirms ACEA A3/B4 and API SN; EPC Shell TDS link confirms document exists; BestOil.tn confirms Tunisian market price of 159 DT for 5L,DPFCompatible=No (ACEA A3/B4 high SAPS); TurboCompatible=Yes (RN0710 is for turbo petrol and high-power diesel),None needed,HIGH
Shell Helix HX7 5W-40,Shell,"Viscosity 5W-40; API SN/CF; ACEA A3/B3,A3/B4; JASO SG+; OEM: MB 229.3,VW 502.00/505.00,GM LL-A/B-025,Renault RN0700,RN0710",Official manufacturer product page + TDS PDF documents,"Official (Shell.com) + TDS PDF (Quality Bearings, TDC.ge)",https://www.shell.com/motorist/oils-lubricants/helix-for-cars/helix-semi-synthetic/shell-helix-hx7-5w-40.html,Shell Helix HX7 5W-40 - Shell Official,GM LL-A/B-025; Renault RN0700/RN0710; VW 502.00/505.00; MB 229.3,Shell official page lists all approvals; two independent TDS PDFs confirm specifications; compatible with wide range of engines including GM and Renault,DPFCompatible=No (A3/B4 high SAPS); TurboCompatible=Yes (RN0710 approved for turbo engines),None needed,HIGH
Shell Helix Ultra Professional AM-L 5W-30,Shell,Viscosity 5W-30; OEM: MB 229.511 only,TDS document + retailer listing (BestOil.tn),TDS PDF (Shell Livedocs) + Retailer,https://www.shell-livedocs.com/data/published/en/4b77a24e-ec93-4151-b777-235f1d8918f2.pdf,Shell Helix Ultra Professional AM-L 5W-30 TDS,MB 229.511,"Shell livedocs TDS confirms MB 229.511 approval; BestOil.tn lists at 42,900 DT/L in Tunisia; ACEA/API not specified in sources found",DPFCompatible=Yes (MB 229.511 is low SAPS for modern MB engines with aftertreatment),None needed,MEDIUM
Motul 4100 SYN-NERGY SPEC 10W-40,Motul,"Viscosity 10W-40; API SP/CF; ACEA A3/B4; OEM: MB 229.3,VW 501.01/505.00,PSA B71 2300,Renault RN0700,RN0710","Official manufacturer product page + retailer (AutoDoc, Motul Egypt)","Official (Motul.com) + Retailer (AutoDoc24.fr, MotulEgypt.com)",https://www.motul.com/en-GB/products/14622,MOTUL 4100 SYN-NERGY SPEC 10W-40 - Motul Official,PSA B71 2300; Renault RN0700/RN0710; MB 229.3; VW 501.01/505.00,Motul official page confirms all specifications; Motul Egypt and AutoDoc confirm product details; PSA B71 2300 is for standard PSA engines,"DPFCompatible=No (ACEA A3/B4 high SAPS, PSA B71 2300 is standard spec); TurboCompatible=Yes (RN0710 for turbo)",None needed,HIGH
Motul 4100 TURBOLIGHT 10W-40,Motul,"Viscosity 10W-40; API SN; ACEA A3/B4; OEM: MB 229.1,MB 229.3,VW 501.01/505.00,Renault RN0700; Meets: PSA B71 2300",Official manufacturer product page + TDS PDF (Cloudfront),Official (Motul.com) + TDS PDF (Cloudfront CDN),https://d347awuzx0kdse.cloudfront.net/motul/product-download/113910_tds.pdf,MOTUL 4100 TURBOLIGHT 10W-40 TDS,Renault RN0700; MB 229.1/229.3; VW 501.01/505.00; Meets PSA B71 2300,"Motul official page confirms specifications; TDS PDF hosted on Cloudfront confirms API SN, ACEA A3/B4, and all OEM approvals; note: RN0700 only (not RN0710)",DPFCompatible=No (A3/B4 high SAPS); TurboCompatible=Yes (approved for turbo engines per VW 501.01),None needed,HIGH
Motul 8100 X-CLEAN FE 5W-30,Motul,"Viscosity 5W-30; API SP,SN/CF; ACEA C2,C3; OEM: GM dexos2,PSA B71 2290,MB 229.52,Renault RN17",Official manufacturer product page + TDS PDF (OilGroup.bg),Official (Motul.com) + TDS PDF (OilGroup.bg),https://www.motul.com/en-GB/products/17711,MOTUL 8100 X-CLEAN FE 5W-30 - Motul Official,PSA B71 2290; Renault RN17; MB 229.52; GM dexos2,Motul official page confirms ACEA C2/C3 and API SP; newer formulations include RN17 and MB 229.52 approvals; OilGroup TDS PDF confirms specifications; compatible with PureTech and modern Renault turbo engines,DPFCompatible=Yes (ACEA C2/C3 low SAPS); TurboCompatible=Yes; HybridCompatible=Yes (RN17 covers latest gen including hybrid applications),None needed,HIGH
Motul SPECIFIC 2312 0W-30,Motul,Viscosity 0W-30; ACEA C2; OEM: PSA B71 2312; Application: BlueHDi Diesel + Gasoline with DPF,Official manufacturer product page + TDS PDF (Incony.de) + retailer (Motul Egypt),Official (Motul.com) + TDS PDF (Incony.de),https://www.motul.com/en-FI/products/59006,MOTUL SPECIFIC 2312 0W-30 - Motul Official,PSA B71 2312,Motul official page and TDS confirm PSA B71 2312 approval; ACEA C2 confirmed; TDS states application for BlueHDi diesel with SCR/DPF and compatible gasoline engines; Euro 4/5/6,DPFCompatible=Yes (PSA B71 2312 is specifically for DPF-equipped BlueHDi engines); TurboCompatible=Yes (BlueHDi engines are turbocharged),None needed,HIGH
Motul SPECIFIC 913D 5W-30,Motul,Viscosity 5W-30; ACEA A5/B5; OEM: FORD WSS-M2C913-D; HTHS 2.9-3.5 mPa.s,Direct page scrape of Motul official product page (motul.com/en-QA/products/59712),Official (Motul.com) - page scrape,https://www.motul.com/en-QA/products/59712,MOTUL SPECIFIC 913D 5W-30 - Motul Official,FORD WSS-M2C913-D,"Direct HTML extraction from Motul official page confirms: Viscosity 5W-30, Standards ACEA A5/B5, OEM Approvals FORD WSS-M2C913-D; description states low HTHS for fuel economy",DPFCompatible=No (ACEA A5/B5 is not low SAPS); TurboCompatible=Yes (Ford WSS-M2C913-D covers Ford turbo engines),None needed,HIGH
TotalEnergies QUARTZ INEO ECS 5W-30,TotalEnergies,"Viscosity 5W-30; ACEA C2; OEM: PSA B71 2290,FIAT 9.55535-S1; Low SAPS; Price 130.7 DT/5L Tunisia",Official lubricants catalog + TDS PDF + Tunisia market verification (Facebook),Official (TotalEnergies Catalog) + TDS PDF + Social (Facebook),https://lubricants.catalog.totalenergies.com/corporate/en_UK/lkx_quartz-ineo-ecs-5w-30,QUARTZ INEO ECS 5W-30 - TotalEnergies Official Catalog,PSA B71 2290; FIAT 9.55535-S1,"TotalEnergies official catalog confirms ACEA C2 and PSA B71 2290/FIAT 9.55535-S1 approvals; TDS PDF from Conlanoils confirms specifications; TotalEnergies Tunisia Facebook page confirms price 130.7 DT/5L; application described as for Peugeot, Citroen, DS Euro 4/5 engines","DPFCompatible=Yes (ACEA C2 low SAPS, PSA B71 2290 for DPF-equipped engines); TurboCompatible=Yes (PureTech engines are turbocharged); HybridCompatible=Yes (PSA stop-start systems)",None needed,HIGH
TotalEnergies QUARTZ INEO LONG LIFE 5W-30,TotalEnergies,"Viscosity 5W-30; ACEA C3; OEM: VW 504.00/507.00,BMW LL-04,MB 229.51,PORSCHE C30; Low SAPS",Official lubricants catalog + multiple retailer references,Official (TotalEnergies Catalog) + Secondary (Tenz.nz),https://lubricants.catalog.totalenergies.com/corporate/en_UK/6e5_quartz-ineo-long-life-5w-30,QUARTZ INEO LONG LIFE 5W-30 - TotalEnergies Official Catalog,VW 504.00/507.00; BMW LL-04; MB 229.51; PORSCHE C30,"TotalEnergies official catalog confirms all four OEM approvals and ACEA C3; Tenz.nz and Chemodex.co.uk cross-reference confirm product; application for VW Group diesel with DPF and 30,000 km drain intervals",DPFCompatible=Yes (VW 504.00/507.00 and MB 229.51 are DPF specs); TurboCompatible=Yes (modern TDI and BMW diesel engines),None needed,HIGH
